"dependiente","tipo_dependiente","explicativa_principal","especificacion","modelo","termino","estimacion","error_std","estadistico","p_valor"
"ALQUILER_MED_M_M2_U","principal","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","fe_tw","RENTA_NETA_MEDIA_HOGAR",6.22691425621852e-05,2.13237572979617e-05,2.92017685683083,0.00374127349831319
"ALQUILER_MED_M_M2_U","principal","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","pool","PLAZAS_DISPONIBLES_M_PER_MIL",0.00796632266056238,0.00146659802953244,5.43183783159869,9.53233625793195e-08
"ALQUILER_MED_M_M2_U","principal","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","pool","RENTA_NETA_MEDIA_HOGAR",5.80764063601825e-05,1.74507242671917e-05,3.32802269240877,0.000952854099747776
"ALQUILER_MED_M_M2_U","principal","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","re","PLAZAS_DISPONIBLES_M_PER_MIL",0.00307924081296782,0.00107832812914051,2.85556940392731,0.00451214907273799
"ALQUILER_MED_M_M2_U","principal","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","re","RENTA_NETA_MEDIA_HOGAR",7.59902143705911e-05,6.42415227584824e-06,11.8288314329469,5.17907696997394e-28
"ALQUILER_MED_M_M2_U","principal","PLAZAS_DISPONIBLES_M_PER_MIL","sin_control","fe","PLAZAS_DISPONIBLES_M_PER_MIL",0.00589664011949141,0.00141770357368954,4.15928987478359,4.06934234872802e-05
"ALQUILER_MED_M_M2_U","principal","PLAZAS_DISPONIBLES_M_PER_MIL","sin_control","fe_tw","PLAZAS_DISPONIBLES_M_PER_MIL",0.00240526679158214,0.00134165165474723,1.79276549398755,0.0739317617425672
"ALQUILER_MED_M_M2_U","principal","PLAZAS_DISPONIBLES_M_PER_MIL","sin_control","pool","PLAZAS_DISPONIBLES_M_PER_MIL",0.00757804215400138,0.00139931901139702,5.41552147314555,1.03680186049422e-07
"ALQUILER_MED_M_M2_U","principal","PLAZAS_DISPONIBLES_M_PER_MIL","sin_control","re","PLAZAS_DISPONIBLES_M_PER_MIL",0.00653685809721754,0.00125404958520291,5.21259938550186,2.94232860228787e-07
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","fe","RENTA_NETA_MEDIA_HOGAR",8.29546521189268e-05,6.91149906201055e-06,12.0024109639097,8.46916137472865e-28
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","fe","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.00415045475479885,0.0056553520900866,0.733898559927734,0.463530082802142
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","fe_tw","RENTA_NETA_MEDIA_HOGAR",6.12701258119099e-05,2.16207480326364e-05,2.83385781654839,0.00488473744510653
