"dependiente","tipo_dependiente","explicativa_principal","especificacion","modelo","termino","estimacion","error_std","estadistico","p_valor"
"ALQUILER_MED_M_M2_COL","principal","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","fe","PLAZAS_DISPONIBLES_M_PER_MIL",0.000591901554931643,0.00109222506013521,0.54192270122274,0.58827672570735
"ALQUILER_MED_M_M2_COL","principal","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","fe","RENTA_NETA_MEDIA_HOGAR",0.000122139486683652,5.9228668137361e-06,20.6216838103451,2.52744544996332e-59
"ALQUILER_MED_M_M2_COL","principal","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","fe_tw","PLAZAS_DISPONIBLES_M_PER_MIL",0.00368883238841742,0.00118388455815769,3.11587169796168,0.00201523086388282
"ALQUILER_MED_M_M2_COL","principal","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","fe_tw","RENTA_NETA_MEDIA_HOGAR",2.91465052313723e-05,1.80094947849483e-05,1.61839660575776,0.106649417687251
"ALQUILER_MED_M_M2_COL","principal","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","re","(Intercept)",2.49540294290959,0.22063355687975,11.3101695780105,9.99539927067618e-26
"ALQUILER_MED_M_M2_COL","principal","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","re","PLAZAS_DISPONIBLES_M_PER_MIL",0.00322468169454205,0.00102273170655669,3.15300843209294,0.00174578675553618
"ALQUILER_MED_M_M2_COL","principal","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","re","RENTA_NETA_MEDIA_HOGAR",0.000111917872495349,5.96652121695497e-06,18.7576425903445,6.95369236626827e-56
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","pool","(Intercept)",3.8379673194809,0.145687152717993,26.3438968219117,1.30446031977415e-90
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","pool","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.0333464275219903,0.00670486117245072,4.97347024260634,9.64608453728015e-07
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","fe","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.0285835963534975,0.00637902438520026,4.48087272088397,1.02443118768334e-05
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","fe_tw","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.0119279119899038,0.00645050310096394,1.84914444706202,0.0653365699968267
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","re","(Intercept)",3.91069821745418,0.156730528893753,24.9517324101244,1.32616415543704e-84
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","re","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.0302108783886001,0.00576284698823402,5.24235303319376,2.53017443632337e-07
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","pool","(Intercept)",1.82058199223711,0.569812239462364,3.19505596081068,0.0015050621011116
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","pool","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.0357021602549677,0.00683372098131779,5.22441000335999,2.77444127761948e-07
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","pool","RENTA_NETA_MEDIA_HOGAR",6.37746698315139e-05,1.71462084605559e-05,3.71946194275107,0.000227164472664763
