"dependiente","tipo_dependiente","explicativa_principal","especificacion","modelo","termino","estimacion","error_std","estadistico","p_valor","significativo_5"
"ALQUILER_MED_M_T_INMU_COL","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","pool","PLAZAS_DISPONIBLES_M_PER_MIL",0.215952948402141,0.0455954425164078,4.73628363897179,3.08994267809454e-06,"Sí"
"ALQUILER_MED_M_T_INMU_COL","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","re","PLAZAS_DISPONIBLES_M_PER_MIL",0.0283238543344194,0.0514798912840627,0.550192582539272,0.582513979568086,"No"
"ALQUILER_MED_M_T_INMU_COL","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","sin_control","fe","PLAZAS_DISPONIBLES_M_PER_MIL",0.395292454860596,0.109742326474813,3.60200542086486,0.000369649690501488,"Sí"
"ALQUILER_MED_M_T_INMU_COL","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","sin_control","fe_tw","PLAZAS_DISPONIBLES_M_PER_MIL",0.061418610325377,0.0769488256773919,0.798174758155175,0.425411144284684,"No"
"ALQUILER_MED_M_T_INMU_COL","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","sin_control","pool","PLAZAS_DISPONIBLES_M_PER_MIL",0.181789089742524,0.0433255935484658,4.19588226850642,3.39282061665604e-05,"Sí"
"ALQUILER_MED_M_T_INMU_COL","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","sin_control","re","PLAZAS_DISPONIBLES_M_PER_MIL",0.238701722752949,0.0555603232249264,4.29626231270481,2.21316028574303e-05,"Sí"
"ALQUILER_MED_M_T_INMU_COL","robustez","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","fe","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",-0.668847190950344,0.33672803316393,-1.98631276602007,0.0479144300214949,"Sí"
"ALQUILER_MED_M_T_INMU_COL","robustez","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","fe_tw","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.0576798841752433,0.369880433419707,0.155941971955552,0.876185780257175,"No"
"ALQUILER_MED_M_T_INMU_COL","robustez","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","pool","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.956517297372216,0.230838494524997,4.14366459693158,4.22566383403699e-05,"Sí"
"ALQUILER_MED_M_T_INMU_COL","robustez","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","re","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.0737289201536362,0.255522890943304,0.288541350958632,0.773091382700846,"No"
